id_etudiant,filiere,niveau,moyenne_generale,note_algorithmique,note_poo,note_génie_logiciel,note_bdd,note_architecture,note_ia,note_web,note_réseaux,note_tcp/ip,note_sécurité_réseau,note_administration_linux,note_télécoms,note_statistiques,note_python,note_big_data,note_visualisation,note_électronique,note_programmation_c,note_microcontrôleurs,note_fpga,note_temps_réel,note_cryptographie,note_forensics,note_pentesting,note_osint,note_mobile,note_cloud,competences,interets,sujet_choisi,domaine_cible
ETU-0031,Systèmes Embarqués,Master 1,11.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,11.9,9.3,9.9,12.9,0.0,0.0,0.0,0.0,0.0,0.0,Linux|OWASP|Raspberry Pi|scikit-learn|Flutter|Pandas,protocoles|protection des données|e-commerce,Système de contrôle d'accès biométrique à faible coût,Systèmes
ETU-0032,Cybersécurité,Master 1,15.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,10.4,14.6,19.1,0.0,0.0,Swift|Vue.js|TensorFlow|Docker|ElasticSearch|FastAPI,intelligence artificielle|électronique|développement web,Portail de téléservices administratifs pour mairies,Développement Web
ETU-0033,Data Science,Master 1,15.83,0.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.9,14.6,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning|Cisco|Forensics|Wireshark,administration réseau|intelligence artificielle|sécurité informatique|hacking éthique,Système de détection de fraude bancaire par deep learning,IA / Machine Learning
ETU-0034,Systèmes Embarqués,Master 1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,19.8,10.9,12.6,18.3,0.0,0.0,0.0,0.0,0.0,0.0,scikit-learn|VPN|React Native|Cryptographie|Kubernetes|Django,automatisation|startup|infrastructure,Analyse de sentiment des réseaux sociaux pour les élections africaines,IA / Machine Learning
ETU-0035,Génie Logiciel,Master 1,13.41,17.4,11.2,15.5,12.8,9.0,11.9,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VPN|AWS|Swift|Arduino|scikit-learn|Deep Learning,sécurité informatique|infrastructure,Système de recommandation de cours en ligne par apprentissage automatique,IA / Machine Learning
ETU-0036,Data Science,Licence 3,13.4,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,9.7,14.4,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTML/CSS|Pandas|Kubernetes|Cryptographie,télécommunications|automatisation|applications web|infrastructure,Reconnaissance vocale pour les langues locales africaines,IA / Machine Learning
ETU-0037,Data Science,Master 2,15.42,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,16.3,13.5,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,React|ElasticSearch|Cryptographie|VHDL|Firewall|Kubernetes,sécurité informatique|data science|santé numérique,Prédiction du taux de décrochage scolaire par machine learning,IA / Machine Learning
ETU-0038,Réseaux et Télécommunications,Master 2,13.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,10.6,10.3,11.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AWS|React|CI/CD|scikit-learn,IoT|automatisation|UX mobile,Système de sauvegarde automatique dans le cloud pour PME africaines,Cloud / DevOps
ETU-0039,Cybersécurité,Master 1,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.9,13.8,17.7,0.0,0.0,Vue.js|Flutter|Deep Learning|Django|MySQL,santé numérique|UX mobile|développement web|intelligence artificielle,Mise en place d'un SIEM pour la détection des intrusions,Cybersécurité
ETU-0040,Systèmes Embarqués,Licence 3,15.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,19.3,11.9,15.3,15.8,0.0,0.0,0.0,0.0,0.0,0.0,TCP/IP|CI/CD|Forensics|Vue.js|Node.js|scikit-learn,hacking éthique|automatisation,Robot de désinfection automatique pour établissements de santé,Systèmes
ETU-0041,Génie Informatique,Master 2,12.39,9.9,0.0,0.0,13.0,0.0,13.9,12.9,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,8.4,MongoDB|Android|ElasticSearch|Pentesting|React,UX mobile|applications mobiles|recherche|santé numérique,Application mobile de paiement via mobile money pour petits commerçants,Mobile
ETU-0042,Data Science,Licence 3,15.92,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,10.5,18.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wireshark|Django|Docker|Python,applications web|startup|protocoles,Prédiction du taux de décrochage scolaire par machine learning,IA / Machine Learning
ETU-0043,Génie Logiciel,Licence 3,14.66,16.9,14.3,16.9,13.7,17.3,14.2,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kubernetes|scikit-learn|Terraform|C/C++,systèmes temps réel|data science|recherche,Analyse de sentiment des réseaux sociaux pour les élections africaines,IA / Machine Learning
ETU-0044,Génie Logiciel,Licence 3,14.44,11.3,15.6,14.6,11.9,19.9,14.4,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,React|Vue.js|Raspberry Pi|MongoDB|Kali Linux|Android,électronique|forensics,Plateforme e-commerce pour artisans locaux au Togo,Développement Web
ETU-0045,Génie Logiciel,Licence 3,14.37,18.0,9.1,9.2,16.9,17.7,14.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Terraform|Vue.js|Forensics|Firewall|Kali Linux,recherche|sécurité informatique|hacking éthique|applications mobiles,Analyse forensique des incidents de cybersécurité,Cybersécurité
ETU-0046,Cybersécurité,Licence 3,17.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,19.7,17.8,15.4,0.0,0.0,Docker|Terraform|Cisco,performance|administration réseau,Audit de sécurité des infrastructures informatiques bancaires au Togo,Cybersécurité
ETU-0047,Génie Logiciel,Master 2,13.3,14.4,12.5,13.4,9.9,11.7,11.9,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLP|Django|FastAPI,recherche|développement web|administration réseau|IoT,Portail de téléservices administratifs pour mairies,Développement Web
ETU-0048,Cybersécurité,Master 1,13.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,10.6,19.8,8.7,0.0,0.0,TCP/IP|MongoDB|Node.js|Redis,protection des données|e-commerce|intelligence artificielle,Sécurisation des applications mobiles de mobile banking,Cybersécurité
ETU-0049,Génie Informatique,Licence 3,12.74,13.2,0.0,0.0,13.5,0.0,11.8,13.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,15.7,Vue.js|OWASP|TensorFlow|VPN|FastAPI,systèmes temps réel|UX mobile|développement web|robotique,Système de vote électronique sécurisé pour associations étudiantes,Développement Web
ETU-0050,Génie Logiciel,Master 2,15.0,15.6,14.4,10.3,17.3,12.2,19.5,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ElasticSearch|React|Django|Redis,performance|applications web,Système de gestion des bourses universitaires en ligne,Développement Web
ETU-0051,Génie Informatique,Master 2,15.1,19.8,0.0,0.0,11.9,0.0,11.8,13.3,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,15.6,Assembleur|NLP|Firewall|Kotlin|Deep Learning,systèmes temps réel|IoT|automatisation,Système de recommandation de cours en ligne par apprentissage automatique,IA / Machine Learning
ETU-0052,Systèmes Embarqués,Master 2,11.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,11.9,13.7,9.8,8.7,0.0,0.0,0.0,0.0,0.0,0.0,Wireshark|Pandas|Kotlin,performance|automatisation|télécommunications|IoT,Système embarqué de surveillance de la qualité de l'air,Systèmes
ETU-0053,Génie Informatique,Master 2,14.3,12.0,0.0,0.0,12.0,0.0,12.6,11.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,19.6,Wireshark|Pandas|Assembleur|Terraform,applications mobiles|hacking éthique,Analyse de sentiment des réseaux sociaux pour les élections africaines,IA / Machine Learning
ETU-0054,Génie Informatique,Master 2,15.21,17.9,0.0,0.0,16.9,0.0,14.3,15.8,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,12.3,TCP/IP|HTML/CSS|MongoDB|Wireshark|Swift,infrastructure|startup,Simulation d'un réseau de capteurs IoT pour smart city,Réseaux
ETU-0055,Réseaux et Télécommunications,Master 2,15.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,9.9,18.0,17.3,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Android|scikit-learn|Forensics|Pentesting,télécommunications|IoT|sécurité informatique|infrastructure,Sécurisation des applications mobiles de mobile banking,Cybersécurité
ETU-0056,Data Science,Master 1,13.52,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.9,10.4,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CI/CD|React Native|Pentesting,design UI|déploiement|e-commerce|sécurité informatique,Classification automatique des documents administratifs par NLP,IA / Machine Learning
ETU-0057,Génie Logiciel,Master 1,13.33,8.6,14.0,10.8,19.9,12.5,8.3,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Django|Node.js|scikit-learn|Linux|React Native,startup|cloud computing|IoT|intelligence artificielle,Système de vote électronique sécurisé pour associations étudiantes,Développement Web
ETU-0058,Data Science,Licence 3,13.47,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,8.6,17.5,13.5,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AWS|Kotlin|VHDL,applications web|sécurité informatique,Système de recommandation de cours en ligne par apprentissage automatique,IA / Machine Learning
ETU-0059,Systèmes Embarqués,Master 1,12.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,12.6,12.5,17.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,Firewall|ElasticSearch|Terraform,design UI|forensics|startup|automatisation,Conception d'un système d'irrigation automatique intelligent,Systèmes
ETU-0060,Génie Logiciel,Master 2,12.7,17.3,13.5,11.5,8.5,10.4,8.5,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arduino|React Native|Redis|scikit-learn|PostgreSQL|Linux,recherche|forensics|administration réseau,Système d'archivage intelligent des actes d'état civil,Bases de données
ETU-0061,Data Science,Master 2,12.77,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,11.2,13.1,13.2,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VPN|React|Pandas|Terraform|Linux,IoT|robotique|gestion des données,Système de recommandation de cours en ligne par apprentissage automatique,IA / Machine Learning
ETU-0062,Génie Logiciel,Master 2,15.19,15.7,12.4,17.6,16.2,19.4,9.7,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scikit-learn|Node.js|Deep Learning|ElasticSearch|Pentesting|Docker,automatisation|applications web|IoT,Détection des maladies agricoles par vision par ordinateur,IA / Machine Learning
ETU-0063,Génie Logiciel,Master 2,13.87,10.2,14.2,19.0,9.4,17.3,16.4,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Swift|PostgreSQL|Vue.js|Node.js|Deep Learning,performance|IoT|développement web,Système de vote électronique sécurisé pour associations étudiantes,Développement Web
ETU-0064,Génie Informatique,Master 2,13.71,19.1,0.0,0.0,15.7,0.0,14.1,9.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,9.7,TensorFlow|Pentesting|Raspberry Pi|VHDL|CI/CD|Flutter,startup|développement web|statistiques|hacking éthique,Détection des maladies agricoles par vision par ordinateur,IA / Machine Learning
ETU-0065,Systèmes Embarqués,Master 1,15.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,12.1,18.5,17.4,15.7,0.0,0.0,0.0,0.0,0.0,0.0,Node.js|Kali Linux|Kotlin|NLP,déploiement|applications web,Conception d'un système d'irrigation automatique intelligent,Systèmes
ETU-0066,Génie Informatique,Master 2,13.87,11.3,0.0,0.0,15.5,0.0,9.1,15.7,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,15.0,Terraform|Kubernetes|Docker|Wireshark,automatisation|data science|développement web|protocoles,Plateforme de monitoring des applications en temps réel,Cloud / DevOps
