id_memoire,titre,description,resume,texte_complet,domaine,methodologie,niveau,annee,auteur,directeur,note_soutenance,tags,nb_tags,est_public,cluster_id,cluster_nom,tags_enrichis
MEM-0011,Portail de tlmdecine pour zones rurales,"Application web de consultation mdicale  distance intgrant la golocalisation des centres de sant, la prise de rendez-vous et le dossier mdical numrique simplifi. Mode offline disponible.","Application web de consultation mdicale  distance intgrant la golocalisation des centres de sant, la prise de rendez-vous et le dossier mdical numrique simplifi. Mode offline disponible. Ce travail s'inscrit dans le contexte de PME africaine. La mthodologie adopte est Dveloppement dirig par les tests (TDD). Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.","Portail de tlmdecine pour zones rurales. Application web de consultation mdicale  distance intgrant la golocalisation des centres de sant, la prise de rendez-vous et le dossier mdical numrique simplifi. Mode offline disponible. Application web de consultation mdicale  distance intgrant la golocalisation des centres de sant, la prise de rendez-vous et le dossier mdical numrique simplifi. Mode offline disponible. Ce travail s'inscrit dans le contexte de PME africaine. La mthodologie adopte est Dveloppement dirig par les tests (TDD). Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.",Dveloppement Web,Dveloppement dirig par les tests (TDD),Master 2,2020,Etudiant_0011,Dr. Professeur_12,10.03,fastapi|full-stack|rest-api,3,1,7,Mobile,application web|distance|fastapi|full-stack|rest-api|vous|web|web de
MEM-0012,Application de suivi de grossesse pour zones rurales,"App mobile hors-ligne pour le suivi mdical des femmes enceintes sans connexion internet. Synchronisation diffre des donnes. Dploye dans 12 centres de sant ruraux, 800 femmes suivies.","App mobile hors-ligne pour le suivi mdical des femmes enceintes sans connexion internet. Synchronisation diffre des donnes. Dploye dans 12 centres de sant ruraux, 800 femmes suivies. Ce travail s'inscrit dans le contexte de mobile money. La mthodologie adopte est Dveloppement dirig par les tests (TDD). Les rsultats obtenus constituent une contribution significative au domaine de Mobile.","Application de suivi de grossesse pour zones rurales. App mobile hors-ligne pour le suivi mdical des femmes enceintes sans connexion internet. Synchronisation diffre des donnes. Dploye dans 12 centres de sant ruraux, 800 femmes suivies. App mobile hors-ligne pour le suivi mdical des femmes enceintes sans connexion internet. Synchronisation diffre des donnes. Dploye dans 12 centres de sant ruraux, 800 femmes suivies. Ce travail s'inscrit dans le contexte de mobile money. La mthodologie adopte est Dveloppement dirig par les tests (TDD). Les rsultats obtenus constituent une contribution significative au domaine de Mobile.",Mobile,Dveloppement dirig par les tests (TDD),Licence 3,2022,Etudiant_0012,Dr. Professeur_13,11.53,geolocalisation|offline|react-native,3,1,7,Mobile,femmes|geolocalisation|ligne pour|mobile|mobile hors|offline|react-native|suivi
MEM-0013,Classification d'images agricoles par CNN,Systme de dtection automatique des maladies des cultures grce  des rseaux convolutifs. Dataset de 15 000 images de plantes annotes. Prcision de 94% sur la classification de 8 maladies principales.,Systme de dtection automatique des maladies des cultures grce  des rseaux convolutifs. Dataset de 15 000 images de plantes annotes. Prcision de 94% sur la classification de 8 maladies principales. Ce travail s'inscrit dans le contexte de mobile money. La mthodologie adopte est Recherche applique. Les rsultats obtenus constituent une contribution significative au domaine de IA / Machine Learning.,Classification d'images agricoles par CNN. Systme de dtection automatique des maladies des cultures grce  des rseaux convolutifs. Dataset de 15 000 images de plantes annotes. Prcision de 94% sur la classification de 8 maladies principales. Systme de dtection automatique des maladies des cultures grce  des rseaux convolutifs. Dataset de 15 000 images de plantes annotes. Prcision de 94% sur la classification de 8 maladies principales. Ce travail s'inscrit dans le contexte de mobile money. La mthodologie adopte est Recherche applique. Les rsultats obtenus constituent une contribution significative au domaine de IA / Machine Learning.,IA / Machine Learning,Recherche applique,Master 1,2018,Etudiant_0013,Dr. Professeur_15,10.58,classification|deep-learning|neural-network|nlp,4,1,2,Cyberscurit,annotes|classification|deep-learning|des|images|maladies|neural-network|nlp
MEM-0014,Plateforme de gestion des stages universitaires,"Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises.","Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Ce travail s'inscrit dans le contexte de PME africaine. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.","Plateforme de gestion des stages universitaires. Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Ce travail s'inscrit dans le contexte de PME africaine. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.",Dveloppement Web,Recherche-action,Master 1,2024,Etudiant_0014,Dr. Professeur_03,19.47,afrique|django|fastapi|postgresql|react,5,1,3,Dveloppement Web,afrique|aux|django|fastapi|fastapi permettant|offres et|postgresql|postuler|react|stages
MEM-0015,Migration infrastructure on-premise vers AWS,"Planification et excution complte de la migration cloud d'une PME locale. Architecture 3-tiers sur AWS avec auto-scaling, backup automatique et rduction des cots d'infrastructure de 40%.","Planification et excution complte de la migration cloud d'une PME locale. Architecture 3-tiers sur AWS avec auto-scaling, backup automatique et rduction des cots d'infrastructure de 40%. Ce travail s'inscrit dans le contexte de contexte africain. La mthodologie adopte est Prototypage rapide. Les rsultats obtenus constituent une contribution significative au domaine de Cloud / DevOps.","Migration infrastructure on-premise vers AWS. Planification et excution complte de la migration cloud d'une PME locale. Architecture 3-tiers sur AWS avec auto-scaling, backup automatique et rduction des cots d'infrastructure de 40%. Planification et excution complte de la migration cloud d'une PME locale. Architecture 3-tiers sur AWS avec auto-scaling, backup automatique et rduction des cots d'infrastructure de 40%. Ce travail s'inscrit dans le contexte de contexte africain. La mthodologie adopte est Prototypage rapide. Les rsultats obtenus constituent une contribution significative au domaine de Cloud / DevOps.",Cloud / DevOps,Prototypage rapide,Master 2,2023,Etudiant_0015,Dr. Professeur_09,14.38,aws|ci-cd|monitoring|terraform,4,1,5,Rseaux,aws|ci-cd|infrastructure|migration|monitoring|rduction des|sur aws|terraform
MEM-0016,Rseau WiFi communautaire  faible cot,"Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march.","Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march. Ce travail s'inscrit dans le contexte de Togo. La mthodologie adopte est Dveloppement logiciel (SCRUM). Les rsultats obtenus constituent une contribution significative au domaine de Rseaux.","Rseau WiFi communautaire  faible cot. Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march. Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march. Ce travail s'inscrit dans le contexte de Togo. La mthodologie adopte est Dveloppement logiciel (SCRUM). Les rsultats obtenus constituent une contribution significative au domaine de Rseaux.",Rseaux,Dveloppement logiciel (SCRUM),Master 1,2018,Etudiant_0016,Dr. Professeur_15,12.29,4g|afrique|ns3|qos|tcp-ip|wifi,6,0,5,Rseaux,4g|afrique|cot|ns3|qos|quartier de|simultanment|source openwrt|tcp-ip|wifi
MEM-0017,Systme de surveillance de la qualit de l'air,"Rseau de capteurs IoT autonomes mesurant CO2, PM2.5, NO2 et temprature. Transmission MQTT vers dashboard Grafana. Autonomie 6 mois sur batterie avec panneau solaire. Dploy dans 5 quartiers de Lom.","Rseau de capteurs IoT autonomes mesurant CO2, PM2.5, NO2 et temprature. Transmission MQTT vers dashboard Grafana. Autonomie 6 mois sur batterie avec panneau solaire. Dploy dans 5 quartiers de Lom. Ce travail s'inscrit dans le contexte de mobile money. La mthodologie adopte est Prototypage rapide. Les rsultats obtenus constituent une contribution significative au domaine de Systmes Embarqus.","Systme de surveillance de la qualit de l'air. Rseau de capteurs IoT autonomes mesurant CO2, PM2.5, NO2 et temprature. Transmission MQTT vers dashboard Grafana. Autonomie 6 mois sur batterie avec panneau solaire. Dploy dans 5 quartiers de Lom. Rseau de capteurs IoT autonomes mesurant CO2, PM2.5, NO2 et temprature. Transmission MQTT vers dashboard Grafana. Autonomie 6 mois sur batterie avec panneau solaire. Dploy dans 5 quartiers de Lom. Ce travail s'inscrit dans le contexte de mobile money. La mthodologie adopte est Prototypage rapide. Les rsultats obtenus constituent une contribution significative au domaine de Systmes Embarqus.",Systmes Embarqus,Prototypage rapide,Licence 3,2020,Etudiant_0017,Dr. Professeur_13,17.85,afrique|capteurs|embarque|energie|iot|mqtt|raspberry-pi,7,1,4,Rseaux,afrique|autonomes|autonomes mesurant|autonomie|autonomie mois|capteurs|embarque|energie|iot|mqtt|raspberry-pi|vers dashboard
MEM-0018,Plateforme de gestion des stages universitaires,"Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises.","Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Ce travail s'inscrit dans le contexte de Afrique de l'Ouest. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.","Plateforme de gestion des stages universitaires. Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Ce travail s'inscrit dans le contexte de Afrique de l'Ouest. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.",Dveloppement Web,Recherche-action,Master 1,2020,Etudiant_0018,Dr. Professeur_12,10.61,afrique|docker|fastapi|full-stack|postgresql|react,6,1,3,Dveloppement Web,afrique|aux|docker|fastapi|fastapi permettant|full-stack|offres|postgresql|postuler|react|stages
MEM-0019,Systme de vote lectronique scuris,"Plateforme de vote en ligne base sur la cryptographie asymtrique RSA et la blockchain lgre. Garantit l'anonymat, l'intgrit et la traabilit des votes. Test lors d'une lection tudiante relle.","Plateforme de vote en ligne base sur la cryptographie asymtrique RSA et la blockchain lgre. Garantit l'anonymat, l'intgrit et la traabilit des votes. Test lors d'une lection tudiante relle. Ce travail s'inscrit dans le contexte de PME africaine. La mthodologie adopte est Recherche exprimentale. Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.","Systme de vote lectronique scuris. Plateforme de vote en ligne base sur la cryptographie asymtrique RSA et la blockchain lgre. Garantit l'anonymat, l'intgrit et la traabilit des votes. Test lors d'une lection tudiante relle. Plateforme de vote en ligne base sur la cryptographie asymtrique RSA et la blockchain lgre. Garantit l'anonymat, l'intgrit et la traabilit des votes. Test lors d'une lection tudiante relle. Ce travail s'inscrit dans le contexte de PME africaine. La mthodologie adopte est Recherche exprimentale. Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.",Dveloppement Web,Recherche exprimentale,Licence 3,2022,Etudiant_0019,Dr. Professeur_15,12.5,blockchain|django|fastapi|full-stack|javascript,5,0,2,Cyberscurit,blockchain|de vote|des votes|django|et la|fastapi|full-stack|javascript|test|vote
MEM-0020,Plateforme de gestion des stages universitaires,"Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises.","Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Ce travail s'inscrit dans le contexte de zones rurales. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.","Plateforme de gestion des stages universitaires. Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Ce travail s'inscrit dans le contexte de zones rurales. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.",Dveloppement Web,Recherche-action,Master 2,2024,Etudiant_0020,Dr. Professeur_08,14.06,afrique|docker|fastapi|javascript|react,5,1,3,Dveloppement Web,afrique|aux|docker|fastapi|fastapi permettant|javascript|offres|offres et|react|stages
MEM-0021,Migration infrastructure on-premise vers AWS,"Planification et excution complte de la migration cloud d'une PME locale. Architecture 3-tiers sur AWS avec auto-scaling, backup automatique et rduction des cots d'infrastructure de 40%.","Planification et excution complte de la migration cloud d'une PME locale. Architecture 3-tiers sur AWS avec auto-scaling, backup automatique et rduction des cots d'infrastructure de 40%. Ce travail s'inscrit dans le contexte de Lom. La mthodologie adopte est Recherche exprimentale. Les rsultats obtenus constituent une contribution significative au domaine de Cloud / DevOps.","Migration infrastructure on-premise vers AWS. Planification et excution complte de la migration cloud d'une PME locale. Architecture 3-tiers sur AWS avec auto-scaling, backup automatique et rduction des cots d'infrastructure de 40%. Planification et excution complte de la migration cloud d'une PME locale. Architecture 3-tiers sur AWS avec auto-scaling, backup automatique et rduction des cots d'infrastructure de 40%. Ce travail s'inscrit dans le contexte de Lom. La mthodologie adopte est Recherche exprimentale. Les rsultats obtenus constituent une contribution significative au domaine de Cloud / DevOps.",Cloud / DevOps,Recherche exprimentale,Master 1,2018,Etudiant_0021,Dr. Professeur_12,16.97,aws|ci-cd|kubernetes|microservices|terraform,5,1,5,Rseaux,aws|ci-cd|infrastructure|kubernetes|microservices|migration|scaling backup|terraform|tiers
MEM-0022,Entrept de donnes pour le Ministre de la Sant,"Conception d'un data warehouse selon modlisation en toile pour centraliser les donnes pidmiologiques nationales. Pipeline ETL automatis, 50M enregistrements, requtes analytiques en < 2s.","Conception d'un data warehouse selon modlisation en toile pour centraliser les donnes pidmiologiques nationales. Pipeline ETL automatis, 50M enregistrements, requtes analytiques en < 2s. Ce travail s'inscrit dans le contexte de Togo. La mthodologie adopte est Recherche exprimentale. Les rsultats obtenus constituent une contribution significative au domaine de Bases de donnes.","Entrept de donnes pour le Ministre de la Sant. Conception d'un data warehouse selon modlisation en toile pour centraliser les donnes pidmiologiques nationales. Pipeline ETL automatis, 50M enregistrements, requtes analytiques en < 2s. Conception d'un data warehouse selon modlisation en toile pour centraliser les donnes pidmiologiques nationales. Pipeline ETL automatis, 50M enregistrements, requtes analytiques en < 2s. Ce travail s'inscrit dans le contexte de Togo. La mthodologie adopte est Recherche exprimentale. Les rsultats obtenus constituent une contribution significative au domaine de Bases de donnes.",Bases de donnes,Recherche exprimentale,Master 1,2019,Etudiant_0022,Dr. Professeur_08,10.5,etl|nosql|postgresql,3,1,1,Bases de donnes,donnes|en|en 2s|en toile|etl|nationales|nosql|postgresql
