id_paire,texte_a,texte_b,categorie_similarite,score_similarite
PAIR-00380,"L'objectif de cette tude est de rsoudre le cot lev des solutions existantes sur le march grce  un systme de prdiction du dcrochage scolaire. Nous utilisons Python et TensorFlow combin avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif. Pour raliser ce projet, nous avons adopt SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale. Les tests raliss montrent que notre solution atteint 86% de prcision. Les performances obtenues dpassent les solutions existantes de 44%. L'interface utilisateur a t valide par 46 utilisateurs rels. Ce mmoire prsente un systme de prdiction du dcrochage scolaire comme solution  le cot lev des solutions existantes sur le march. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.","L'objectif de cette tude est de rsoudre le cot lev des solutions existantes sur le march grce un outil de prdiction du dcrochage scolaire. Nous utilisons Python et TensorFlow combin avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif. Pour raliser ce projet, nous avons adopt SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale. Les tests raliss indiquent que notre solution atteint 86% de prcision. Les performances obtenues dpassent les solutions existantes de 44%. L'interface utilisateur a t valide par 46 utilisateurs rels. Ce mmoire prsente un systme de prdiction du dcrochage scolaire comme solution le cot lev des solutions existantes sur le march. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.",SIMILAIRE,0.412
PAIR-00042,L'objectif de cette tude est de rsoudre les pertes financires dues aux erreurs humaines grce  une application de covoiturage universitaire. Nous utilisons Python et TensorFlow combin avec le prototypage rapide et l'itration continue pour atteindre cet objectif. La mthodologie de dveloppement choisie est le prototypage rapide et l'itration continue. Nous avons structur le travail en 3 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les tests raliss montrent que notre solution atteint 98% de prcision. Les performances obtenues dpassent les solutions existantes de 33%. L'interface utilisateur a t valide par 11 utilisateurs rels. Ce travail a permis de dvelopper une application de covoiturage universitaire qui rpond efficacement  les pertes financires dues aux erreurs humaines. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.,"Ce travail vise  concevoir et implmenter un systme de dtection de fraude bancaire en utilisant React et FastAPI. La problmatique principale est la difficult d'accs aux soins mdicaux. Notre approche repose sur la recherche-action avec participation des utilisateurs finaux. L'approche mthodologique retenue est la recherche-action avec participation des utilisateurs finaux. Elle se dcline en 5 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Notre systme a t valu sur un jeu de donnes de 6853 enregistrements. Les rsultats indiquent une amlioration de 24% par rapport  l'approche classique. Le temps de rponse moyen est de 448ms, ce qui rpond aux exigences. Ce travail a permis de dvelopper un systme de dtection de fraude bancaire qui rpond efficacement  la difficult d'accs aux soins mdicaux. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.",ORIGINAL,0.058
PAIR-00187,"Dans le cadre de ce mmoire, nous proposons un systme de prdiction du dcrochage scolaire. Face  la lenteur des processus manuels actuels, nous avons choisi d'utiliser blockchain et smart contracts comme solution principale. La mthodologie adopte est le prototypage rapide et l'itration continue. L'approche mthodologique retenue est le prototypage rapide et l'itration continue. Elle se dcline en 6 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les tests raliss montrent que notre solution atteint 85% de prcision. Les performances obtenues dpassent les solutions existantes de 20%. L'interface utilisateur a t valide par 49 utilisateurs rels. En conclusion, nous avons conu et implment un systme de prdiction du dcrochage scolaire. Notre solution apporte une rponse concrte  la lenteur des processus manuels actuels. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Dans le cadre de ce mmoire, nous proposons une application de covoiturage universitaire. Face  la difficult d'accs aux soins mdicaux, nous avons choisi d'utiliser Arduino et Raspberry Pi comme solution principale. La mthodologie adopte est SCRUM avec des sprints de 2 semaines. La mthodologie de dveloppement choisie est SCRUM avec des sprints de 2 semaines. Nous avons structur le travail en 6 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les tests raliss montrent que notre solution atteint 83% de prcision. Les performances obtenues dpassent les solutions existantes de 26%. L'interface utilisateur a t valide par 45 utilisateurs rels. En conclusion, nous avons conu et implment une application de covoiturage universitaire. Notre solution apporte une rponse concrte  la difficult d'accs aux soins mdicaux. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.",ORIGINAL,0.192
PAIR-00552,"L'objectif de cette tude est de rsoudre le manque d'accessibilit aux services dans les zones rurales grce  un systme de dtection de fraude bancaire. Nous utilisons Arduino et Raspberry Pi combin avec le prototypage rapide et l'itration continue pour atteindre cet objectif. Pour raliser ce projet, nous avons adopt le prototypage rapide et l'itration continue. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 6 itrations de dure gale. Les tests raliss montrent que notre solution atteint 96% de prcision. Les performances obtenues dpassent les solutions existantes de 29%. L'interface utilisateur a t valide par 27 utilisateurs rels. Ce travail a permis de dvelopper un systme de dtection de fraude bancaire qui rpond efficacement  le manque d'accessibilit aux services dans les zones rurales. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.","L'objectif de cette tude est de traiter le manque d'accessibilit aux services dans les zones rurales grce un outil de dtection de fraude bancaire. Nous utilisons Arduino et Raspberry Pi combin avec le prototypage rapide et l'itration continue pour atteindre cet objectif. Pour raliser ce projet, nous avons adopt le prototypage rapide et l'itration continue. Cette mthode nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 6 itrations de dure gale. Les tests raliss montrent que notre solution atteint 96% de prcision. Les performances obtenues dpassent les solutions existantes de 29%. L'interface utilisateur a t valide par 27 utilisateurs finaux rels. Ce travail a permis de dvelopper un outil de dtection de fraude bancaire qui rpond efficacement le manque d'accessibilit aux services dans les zones rurales. Les performances acquis sont satisfaisants et ouvrent la voie des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension d'autres contextes.",PLAGIAT_PARTIEL,0.598
PAIR-00378,"Ce travail vise  concevoir et implmenter une application de paiement mobile scurise en utilisant NLP et transformers BERT. La problmatique principale est l'absence d'outils adapts au contexte africain. Notre approche repose sur une tude de cas approfondie avec donnes relles. Pour raliser ce projet, nous avons adopt une tude de cas approfondie avec donnes relles. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale. Les exprimentations confirment la viabilit de notre approche avec 92% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 45% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 27 experts du domaine. En conclusion, nous avons conu et implment une application de paiement mobile scurise. Notre solution apporte une rponse concrte  l'absence d'outils adapts au contexte africain. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Ce travail vise concevoir et raliser une application de paiement mobile scurise en employant NLP et transformers BERT. La problmatique principale est l'absence d'outils adapts au contexte africain. Notre approche repose sur une tude de cas approfondie avec donnes relles. Pour raliser ce projet, nous avons adopt une tude de cas approfondie avec donnes relles. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale. Les exprimentations confirment la viabilit de notre approche avec 92% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 45% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 27 experts du domaine. En conclusion, nous avons conu et implment une application de paiement mobile scurise. Notre solution apporte une rponse concrte l'absence d'outils adapts au contexte africain. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.",SIMILAIRE,0.212
PAIR-00364,"L'objectif de cette tude est de rsoudre la lenteur des processus manuels actuels grce  un chatbot d'assistance mdicale. Nous utilisons Arduino et Raspberry Pi combin avec le prototypage rapide et l'itration continue pour atteindre cet objectif. L'approche mthodologique retenue est le prototypage rapide et l'itration continue. Elle se dcline en 6 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les tests raliss montrent que notre solution atteint 94% de prcision. Les performances obtenues dpassent les solutions existantes de 32%. L'interface utilisateur a t valide par 40 utilisateurs rels. Ce mmoire prsente un chatbot d'assistance mdicale comme solution  la lenteur des processus manuels actuels. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.","L'objectif de cette tude est de traiter la lenteur des processus manuels actuels grce un chatbot d'assistance mdicale. Nous utilisons Arduino et Raspberry Pi combin avec le prototypage rapide et l'itration continue pour atteindre cet objectif. L'approche mthodologique retenue est le prototypage rapide et l'itration continue. Elle se dcline en 6 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les tests raliss montrent que notre solution atteint 94% de prcision. Les performances obtenues dpassent les solutions existantes de 32%. L'interface utilisateur a t valide par 40 utilisateurs rels. Ce mmoire prsente un chatbot d'assistance mdicale comme solution la lenteur des processus manuels actuels. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.",SIMILAIRE,0.447
PAIR-00300,"Dans le cadre de ce mmoire, nous proposons un moteur de recommandation de cours. Face  l'absence d'outils adapts au contexte africain, nous avons choisi d'utiliser NLP et transformers BERT comme solution principale. La mthodologie adopte est SCRUM avec des sprints de 2 semaines. La mthodologie de dveloppement choisie est SCRUM avec des sprints de 2 semaines. Nous avons structur le travail en 6 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les exprimentations confirment la viabilit de notre approche avec 87% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 39% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 43 experts du domaine. En conclusion, nous avons conu et implment un moteur de recommandation de cours. Notre solution apporte une rponse concrte  l'absence d'outils adapts au contexte africain. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","L'objectif de cette tude est de rsoudre le manque d'accessibilit aux services dans les zones rurales grce  un systme de contrle d'accs biomtrique. Nous utilisons Arduino et Raspberry Pi combin avec la recherche exprimentale avec validation empirique pour atteindre cet objectif. La mthodologie de dveloppement choisie est la recherche exprimentale avec validation empirique. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 2816 enregistrements. Les rsultats indiquent une amlioration de 20% par rapport  l'approche classique. Le temps de rponse moyen est de 311ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment un systme de contrle d'accs biomtrique. Notre solution apporte une rponse concrte  le manque d'accessibilit aux services dans les zones rurales. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.",ORIGINAL,0.009
PAIR-00586,"Ce travail vise  concevoir et implmenter un outil d'analyse de sentiment sur les rseaux sociaux en utilisant Flutter et Firebase. La problmatique principale est la lenteur des processus manuels actuels. Notre approche repose sur la recherche-action avec participation des utilisateurs finaux. La mthodologie de dveloppement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structur le travail en 3 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 7265 enregistrements. Les rsultats indiquent une amlioration de 28% par rapport  l'approche classique. Le temps de rponse moyen est de 403ms, ce qui rpond aux exigences. Ce travail a permis de dvelopper un outil d'analyse de sentiment sur les rseaux sociaux qui rpond efficacement  la lenteur des processus manuels actuels. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.","Ce travail vise dvelopper et implmenter un outil d'analyse de sentiment sur les rseaux sociaux en utilisant Flutter et Firebase. La challenge principale est la lenteur des processus manuels actuels. Notre mthode repose sur la recherche-action avec participation des utilisateurs finaux finaux. La mthodologie de dveloppement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structur le travail en 3 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 7265 enregistrements. Les performances indiquent une optimisation de 28% par rapport l'approche classique. Le temps de rponse moyen est de 403ms, ce qui rpond aux exigences. Ce travail a permis de construire un outil d'analyse de sentiment sur les rseaux sociaux qui rpond efficacement la lenteur des processus manuels actuels. Les performances acquis sont satisfaisants et ouvrent la voie des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension d'autres contextes.",PLAGIAT_PARTIEL,0.662
PAIR-00365,"L'objectif de cette tude est de rsoudre le cot lev des solutions existantes sur le march grce  un systme de prdiction du dcrochage scolaire. Nous utilisons Arduino et Raspberry Pi combin avec une tude de cas approfondie avec donnes relles pour atteindre cet objectif. Pour raliser ce projet, nous avons adopt une tude de cas approfondie avec donnes relles. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale. Les exprimentations confirment la viabilit de notre approche avec 88% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 24% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 17 experts du domaine. Ce mmoire prsente un systme de prdiction du dcrochage scolaire comme solution  le cot lev des solutions existantes sur le march. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.","L'objectif de cette tude est de rsoudre le cot lev des solutions existantes sur le march grce un systme de prdiction du dcrochage scolaire. Nous utilisons Arduino et Raspberry Pi combin avec une tude de cas approfondie avec donnes relles pour atteindre cet objectif. Pour raliser ce projet, nous avons adopt une tude de cas approfondie avec donnes relles. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale. Les exprimentations confirment la viabilit de notre approche avec 88% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 24% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 17 experts du domaine. Ce mmoire prsente un systme de prdiction du dcrochage scolaire comme solution le cot lev des solutions existantes sur le march. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.",SIMILAIRE,0.306
PAIR-00553,L'objectif de cette tude est de rsoudre la difficult d'accs aux soins mdicaux grce  un systme d'archivage intelligent de documents. Nous utilisons NLP et transformers BERT combin avec la recherche-action avec participation des utilisateurs finaux pour atteindre cet objectif. La mthodologie de dveloppement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structur le travail en 5 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les tests raliss montrent que notre solution atteint 96% de prcision. Les performances obtenues dpassent les solutions existantes de 22%. L'interface utilisateur a t valide par 36 utilisateurs rels. Ce travail a permis de dvelopper un systme d'archivage intelligent de documents qui rpond efficacement  la difficult d'accs aux soins mdicaux. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.,L'objectif de cette tude est de traiter la difficult d'accs aux soins mdicaux grce un systme d'archivage intelligent de documents. Nous utilisons NLP et transformers BERT combin avec la recherche-action avec participation des utilisateurs finaux finaux pour atteindre cet objectif. La mthodologie de dveloppement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structur le travail en 5 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les tests raliss indiquent que notre rponse atteint 96% de prcision. Les performances obtenues dpassent les solutions existantes de 22%. L'interface utilisateur a t valide par 36 utilisateurs finaux rels. Ce travail a permis de construire un outil d'archivage intelligent de documents qui rpond efficacement la difficult d'accs aux soins mdicaux. Les rsultats acquis sont satisfaisants et ouvrent la voie des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension d'autres contextes.,PLAGIAT_PARTIEL,0.602
PAIR-00439,"Ce projet de fin d'tudes porte sur un outil d'analyse de sentiment sur les rseaux sociaux. La motivation principale est le manque de traabilit dans les processus administratifs qui constitue un dfi majeur. Nous proposons une solution base sur machine learning et scikit-learn en suivant une approche SCRUM avec des sprints de 2 semaines. Pour raliser ce projet, nous avons adopt SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 6 itrations de dure gale. Les exprimentations confirment la viabilit de notre approche avec 84% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 28% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 21 experts du domaine. En conclusion, nous avons conu et implment un outil d'analyse de sentiment sur les rseaux sociaux. Notre solution apporte une rponse concrte  le manque de traabilit dans les processus administratifs. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Ce projet de fin d'tudes porte sur un outil d'analyse de sentiment sur les rseaux sociaux. La motivation principale est le manque de traabilit dans les processus administratifs qui constitue un dfi majeur. Nous proposons une solution base sur machine learning et scikit-learn en suivant une approche SCRUM avec des sprints de 2 semaines. Pour raliser ce projet, nous avons adopt SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 6 itrations de dure gale. Les exprimentations confirment la viabilit de notre approche avec 84% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 28% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 21 experts du domaine. En conclusion, nous avons conu et implment un outil d'analyse de sentiment sur les rseaux sociaux. Notre solution apporte une rponse concrte le manque de traabilit dans les processus administratifs. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.",SIMILAIRE,0.386
PAIR-00257,"L'objectif de cette tude est de rsoudre le manque de traabilit dans les processus administratifs grce  un systme de contrle d'accs biomtrique. Nous utilisons machine learning et scikit-learn combin avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif. L'approche mthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se dcline en 6 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les exprimentations confirment la viabilit de notre approche avec 90% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 37% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 36 experts du domaine. En conclusion, nous avons conu et implment un systme de contrle d'accs biomtrique. Notre solution apporte une rponse concrte  le manque de traabilit dans les processus administratifs. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Dans le cadre de ce mmoire, nous proposons un systme de contrle d'accs biomtrique. Face  la lenteur des processus manuels actuels, nous avons choisi d'utiliser React et FastAPI comme solution principale. La mthodologie adopte est le prototypage rapide et l'itration continue. La mthodologie de dveloppement choisie est le prototypage rapide et l'itration continue. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les exprimentations confirment la viabilit de notre approche avec 83% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 36% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 44 experts du domaine. En conclusion, nous avons conu et implment un systme de contrle d'accs biomtrique. Notre solution apporte une rponse concrte  la lenteur des processus manuels actuels. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.",ORIGINAL,0.187
PAIR-00011,"Dans le cadre de ce mmoire, nous proposons un chatbot d'assistance mdicale. Face  le cot lev des solutions existantes sur le march, nous avons choisi d'utiliser blockchain et smart contracts comme solution principale. La mthodologie adopte est la recherche-action avec participation des utilisateurs finaux. La mthodologie de dveloppement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structur le travail en 5 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les exprimentations confirment la viabilit de notre approche avec 94% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 18% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 23 experts du domaine. Ce mmoire prsente un chatbot d'assistance mdicale comme solution  le cot lev des solutions existantes sur le march. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.","L'objectif de cette tude est de rsoudre le manque de traabilit dans les processus administratifs grce  un moteur de recommandation de cours. Nous utilisons Flutter et Firebase combin avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif. L'approche mthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se dcline en 5 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Notre systme a t valu sur un jeu de donnes de 1912 enregistrements. Les rsultats indiquent une amlioration de 19% par rapport  l'approche classique. Le temps de rponse moyen est de 83ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment un moteur de recommandation de cours. Notre solution apporte une rponse concrte  le manque de traabilit dans les processus administratifs. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.",ORIGINAL,0.048
PAIR-00005,"Dans le cadre de ce mmoire, nous proposons un systme de prdiction du dcrochage scolaire. Face  la lenteur des processus manuels actuels, nous avons choisi d'utiliser blockchain et smart contracts comme solution principale. La mthodologie adopte est le prototypage rapide et l'itration continue. L'approche mthodologique retenue est le prototypage rapide et l'itration continue. Elle se dcline en 6 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les tests raliss montrent que notre solution atteint 85% de prcision. Les performances obtenues dpassent les solutions existantes de 20%. L'interface utilisateur a t valide par 49 utilisateurs rels. En conclusion, nous avons conu et implment un systme de prdiction du dcrochage scolaire. Notre solution apporte une rponse concrte  la lenteur des processus manuels actuels. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","L'objectif de cette tude est de rsoudre le manque de traabilit dans les processus administratifs grce  un chatbot d'assistance mdicale. Nous utilisons React et FastAPI combin avec le prototypage rapide et l'itration continue pour atteindre cet objectif. L'approche mthodologique retenue est le prototypage rapide et l'itration continue. Elle se dcline en 6 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les exprimentations confirment la viabilit de notre approche avec 91% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 18% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 24 experts du domaine. Ce mmoire prsente un chatbot d'assistance mdicale comme solution  le manque de traabilit dans les processus administratifs. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.",ORIGINAL,0.062
PAIR-00697,Ce projet de fin d'tudes porte sur un systme de gestion des stocks intelligents. La motivation principale est le manque de traabilit dans les processus administratifs qui constitue un dfi majeur. Nous proposons une solution base sur React et FastAPI en suivant une approche le prototypage rapide et l'itration continue. La mthodologie de dveloppement choisie est le prototypage rapide et l'itration continue. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les tests raliss montrent que notre solution atteint 81% de prcision. Les performances obtenues dpassent les solutions existantes de 24%. L'interface utilisateur a t valide par 41 utilisateurs rels. Ce travail a permis de dvelopper un systme de gestion des stocks intelligents qui rpond efficacement  le manque de traabilit dans les processus administratifs. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.,Ce projet de fin d'tudes porte sur un outil de gestion des stocks intelligents. La motivation principale est le manque de traabilit dans les processus administratifs qui constitue un dfi majeur. Nous proposons une rponse base sur React et FastAPI en suivant une mthode le prototypage rapide et l'itration continue. La mthodologie de dveloppement choisie est le prototypage rapide et l'itration continue. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les tests raliss indiquent que notre rponse atteint 81% de prcision. Les performances obtenues dpassent les solutions existantes de 24%. L'interface utilisateur a t valide par 41 utilisateurs rels. Ce travail a permis de construire un outil de gestion des stocks intelligents qui rpond efficacement le manque de traabilit dans les processus administratifs. Les performances acquis sont satisfaisants et ouvrent la voie des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension d'autres contextes.,PLAGIAT_TOTAL,0.917
PAIR-00659,"Ce projet de fin d'tudes porte sur un moteur de recommandation de cours. La motivation principale est la difficult d'accs aux soins mdicaux qui constitue un dfi majeur. Nous proposons une solution base sur Flutter et Firebase en suivant une approche la recherche exprimentale avec validation empirique. L'approche mthodologique retenue est la recherche exprimentale avec validation empirique. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Notre systme a t valu sur un jeu de donnes de 4716 enregistrements. Les rsultats indiquent une amlioration de 35% par rapport  l'approche classique. Le temps de rponse moyen est de 440ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment un moteur de recommandation de cours. Notre solution apporte une rponse concrte  la difficult d'accs aux soins mdicaux. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Ce projet de fin d'tudes porte sur un moteur de recommandation de cours. La motivation principale est la difficult d'accs aux soins mdicaux qui constitue un dfi majeur. Nous proposons une rponse base sur Flutter et Firebase en suivant une mthode la recherche exprimentale avec validation empirique. L'approche mthodologique retenue est la recherche exprimentale avec validation empirique. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Notre systme a t valu sur un jeu de informations de 4716 enregistrements. Les performances indiquent une optimisation de 35% par rapport l'approche classique. Le temps de rponse moyen est de 440ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment un moteur de recommandation de cours. Notre rponse apporte une rponse concrte la difficult d'accs aux soins mdicaux. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du outil",PLAGIAT_TOTAL,0.912
PAIR-00400,"Ce travail vise  concevoir et implmenter un outil d'analyse de sentiment sur les rseaux sociaux en utilisant Flutter et Firebase. La problmatique principale est le manque d'accessibilit aux services dans les zones rurales. Notre approche repose sur la recherche exprimentale avec validation empirique. La mthodologie de dveloppement choisie est la recherche exprimentale avec validation empirique. Nous avons structur le travail en 6 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 8416 enregistrements. Les rsultats indiquent une amlioration de 34% par rapport  l'approche classique. Le temps de rponse moyen est de 387ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment un outil d'analyse de sentiment sur les rseaux sociaux. Notre solution apporte une rponse concrte  le manque d'accessibilit aux services dans les zones rurales. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Ce travail vise concevoir et implmenter un outil d'analyse de sentiment sur les rseaux sociaux en utilisant Flutter et Firebase. La problmatique principale est le manque d'accessibilit aux services dans les zones rurales. Notre approche repose sur la recherche exprimentale avec validation empirique. La mthodologie de dveloppement choisie est la recherche exprimentale avec validation empirique. Nous avons structur le travail en 6 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 8416 enregistrements. Les rsultats indiquent une amlioration de 34% par rapport l'approche classique. Le temps de rponse moyen est de 387ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment un outil d'analyse de sentiment sur les rseaux sociaux. Notre solution apporte une rponse concrte le manque d'accessibilit aux services dans les zones rurales. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.",SIMILAIRE,0.294
