id_projet,titre,description,domaine,filiere_etudiant,methodologie,score_similarite_existants,nb_mots_titre,nb_mots_description,nb_phrases_description,ratio_vocabulaire,score_mots_academiques,score_mots_techniques,score_mots_vagues,a_methodologie,a_objectifs_clairs,est_infaisable,decision
PRJ-0273,Application de chat en temps rel,Ce projet vise  crer une application de messagerie instantane. Les utilisateurs pourront envoyer des messages en temps rel. On utilisera des websockets pour la communication.,Bases de donnes,Data Science,Dveloppement logiciel (SCRUM),0.744,6,25,4,0.96,0,0,0,0,1,0,REJETE
PRJ-0415,Application de chat en temps rel v4,Ce projet vise  crer une application de messagerie instantane. Les utilisateurs pourront envoyer des messages en temps rel. On utilisera des websockets pour la communication.,Dveloppement Web,Data Science,Recherche applique,0.466,7,25,4,0.96,0,0,0,0,1,0,REJETE
PRJ-0534,Projet sur la blockchain,La blockchain c'est bien. Je vais faire quelque chose avec la blockchain.,Rseaux,Rseaux et Tlcommunications,Dveloppement logiciel (SCRUM),0.845,4,12,3,0.917,0,1,1,0,0,0,REJETE
PRJ-0276,Dveloppement d'une application Android pour les transports,On va dvelopper une application Android pour les transports en commun. L'application montrera les horaires et les itinraires disponibles dans la ville.,Bases de donnes,Data Science,Prototypage,0.303,7,22,3,0.909,1,1,0,0,0,0,REJETE
PRJ-0345,Application pour grer les notes des tudiants,Je veux faire une application pour grer les notes. Elle permettra d'entrer les notes et de calculer les moyennes. Ce sera utile pour les professeurs.,Rseaux,Rseaux et Tlcommunications,Prototypage,0.635,7,25,4,0.84,0,0,0,0,0,0,REJETE
PRJ-0398,Cration d'un site web pour une cole,"Le projet consiste  crer un site web pour une cole. Le site aura des pages pour prsenter l'cole, les cours et les professeurs. Il y aura aussi un espace pour les tudiants.",Systmes Embarqus,Cyberscurit,Dveloppement logiciel (SCRUM),0.665,7,32,4,0.75,0,0,0,0,1,0,REJETE
PRJ-0159,Dveloppement d'une application mobile de tlmdecine pour les zones rurales togolaises,"Cette tude propose le dveloppement d'une application Android permettant aux patients des zones rurales d'accder  des consultations mdicales  distance. L'application intgre un module de golocalisation des centres de sant, un systme de prise de rendez-vous et un dossier mdical numrique simplifi.",Systmes Embarqus,Cyberscurit,tude de cas,0.436,11,41,3,0.829,2,1,0,0,0,0,REVISION_NECESSAIRE
PRJ-0591,Projet sur la blockchain,La blockchain c'est bien. Je vais faire quelque chose avec la blockchain.,IA / Machine Learning,Rseaux et Tlcommunications,Recherche applique,0.791,4,12,3,0.917,0,1,1,0,0,0,REJETE
PRJ-0160,Dveloppement d'une application mobile de tlmdecine pour les zones rurales togolaises,"Cette tude propose le dveloppement d'une application Android permettant aux patients des zones rurales d'accder  des consultations mdicales  distance. L'application intgre un module de golocalisation des centres de sant, un systme de prise de rendez-vous et un dossier mdical numrique simplifi.",Cloud / DevOps,Data Science,tude de cas,0.384,11,41,3,0.829,2,1,0,0,0,0,APPROUVE
PRJ-0422,Cration d'un site web pour une cole,"Le projet consiste  crer un site web pour une cole. Le site aura des pages pour prsenter l'cole, les cours et les professeurs. Il y aura aussi un espace pour les tudiants.",Bases de donnes,Gnie Informatique,Recherche exprimentale,0.503,7,32,4,0.75,0,0,0,0,1,0,REJETE
PRJ-0531,Faire un jeu vido,Je veux faire un jeu. Ce sera amusant.,Systmes Embarqus,Systmes Embarqus,Prototypage,0.852,4,8,3,1.0,0,0,1,0,0,0,REJETE
PRJ-0450,Application pour grer les notes des tudiants,Je veux faire une application pour grer les notes. Elle permettra d'entrer les notes et de calculer les moyennes. Ce sera utile pour les professeurs.,IA / Machine Learning,Data Science,Recherche exprimentale,0.321,7,25,4,0.84,0,0,0,0,0,0,REJETE
PRJ-0122,Mise en place d'un systme de vote lectronique scuris pour les lections universitaires,"Ce projet consiste  concevoir et dployer une plateforme de vote lectronique scurise base sur la cryptographie asymtrique et la blockchain lgre. L'objectif est de garantir l'anonymat, l'intgrit et la traabilit des votes lors des lections au sein de l'universit.",Mobile,Gnie Informatique,Recherche exprimentale,0.438,13,39,3,0.821,4,1,0,0,1,0,APPROUVE
PRJ-0285,tude sur la scurit des rseaux wifi,Ce projet parle de la scurit wifi. On va voir comment scuriser un rseau wifi et quels sont les problmes qui existent avec les rseaux sans fil dans les entreprises.,Cloud / DevOps,Data Science,Recherche applique,0.491,7,30,3,0.933,1,0,0,0,0,0,REJETE
PRJ-0183,Conception d'un entrept de donnes pour le suivi pidmiologique au Ministre de la Sant,"Ce projet vise  concevoir un data warehouse selon la modlisation en toile pour centraliser les donnes pidmiologiques nationales. Il inclut la mise en place d'un pipeline ETL, le dploiement sous PostgreSQL et la cration de rapports analytiques sur Power BI.",IA / Machine Learning,Gnie Logiciel,Recherche applique,0.053,14,40,3,0.925,2,1,0,0,1,0,APPROUVE
PRJ-0223,Implmentation d'un SIEM open source pour la dtection d'intrusions en entreprise,Ce travail consiste  dployer et configurer un SIEM bas sur Wazuh/ELK Stack pour centraliser la gestion des logs et dtecter les intrusions dans une PME locale. Il inclut la dfinition des rgles de corrlation et les procdures de rponse aux incidents.,Cloud / DevOps,Data Science,Dveloppement logiciel (SCRUM),0.319,11,41,3,0.854,1,0,0,0,1,0,APPROUVE
PRJ-0192,Analyse prdictive du taux de dcrochage scolaire par apprentissage automatique,"Cette recherche applique des algorithmes de machine learning (Random Forest, XGBoost) pour prdire le risque de dcrochage scolaire  partir de donnes acadmiques et socio-conomiques. Un tableau de bord de visualisation est dvelopp pour les responsables pdagogiques.",IA / Machine Learning,Data Science,Recherche exprimentale,0.066,10,36,3,0.861,3,2,0,0,0,0,REVISION_NECESSAIRE
PRJ-0466,Analyse des donnes de vente d'une entreprise,Ce travail va analyser les donnes de vente d'une entreprise commerciale pour trouver des tendances. On utilisera Excel et Python pour faire les analyses et crer des graphiques.,Cloud / DevOps,Rseaux et Tlcommunications,tude de cas,0.638,7,28,3,0.857,2,1,0,0,0,0,REJETE
PRJ-0018,Dveloppement d'une application mobile de tlmdecine pour les zones rurales togolaises,"Cette tude propose le dveloppement d'une application Android permettant aux patients des zones rurales d'accder  des consultations mdicales  distance. L'application intgre un module de golocalisation des centres de sant, un systme de prise de rendez-vous et un dossier mdical numrique simplifi.",Cloud / DevOps,Cyberscurit,Dveloppement logiciel (SCRUM),0.072,11,41,3,0.829,2,1,0,0,0,0,REVISION_NECESSAIRE
PRJ-0110,Systme embarqu de surveillance environnementale bas sur IoT,"Ce projet dveloppe un systme de capteurs connects (Arduino + Raspberry Pi) pour surveiller la qualit de l'air, l'humidit et la temprature dans un environnement industriel. Les donnes sont transmises via MQTT et visualises sur un dashboard Grafana.",Mobile,Data Science,Recherche exprimentale,0.372,8,38,3,0.868,2,2,0,0,0,0,REVISION_NECESSAIRE
PRJ-0493,Copie du systme bancaire,Reproduire exactement le systme de la banque Ecobank avec toutes ses fonctionnalits en 2 mois.,Cloud / DevOps,Gnie Logiciel,tude de cas,0.539,4,15,2,1.0,1,0,1,0,0,1,REJETE
PRJ-0451,Application de chat en temps rel v4,Ce projet vise  crer une application de messagerie instantane. Les utilisateurs pourront envoyer des messages en temps rel. On utilisera des websockets pour la communication.,Bases de donnes,Cyberscurit,Prototypage,0.452,7,25,4,0.96,0,0,0,0,1,0,REJETE
PRJ-0208,Conception d'un entrept de donnes pour le suivi pidmiologique au Ministre de la Sant,"Ce projet vise  concevoir un data warehouse selon la modlisation en toile pour centraliser les donnes pidmiologiques nationales. Il inclut la mise en place d'un pipeline ETL, le dploiement sous PostgreSQL et la cration de rapports analytiques sur Power BI.",Rseaux,Rseaux et Tlcommunications,tude de cas,0.158,14,40,3,0.925,2,1,0,0,1,0,APPROUVE
PRJ-0279,Application de chat en temps rel v3,Ce projet vise  crer une application de messagerie instantane. Les utilisateurs pourront envoyer des messages en temps rel. On utilisera des websockets pour la communication.,Cyberscurit,Gnie Informatique,tude de cas,0.595,7,25,4,0.96,0,0,0,0,1,0,REJETE
PRJ-0199,Systme embarqu de surveillance environnementale bas sur IoT,"Ce projet dveloppe un systme de capteurs connects (Arduino + Raspberry Pi) pour surveiller la qualit de l'air, l'humidit et la temprature dans un environnement industriel. Les donnes sont transmises via MQTT et visualises sur un dashboard Grafana.",Dveloppement Web,Data Science,Prototypage,0.2,8,38,3,0.868,2,2,0,0,0,0,APPROUVE
PRJ-0388,Analyse des donnes de vente d'une entreprise,Ce travail va analyser les donnes de vente d'une entreprise commerciale pour trouver des tendances. On utilisera Excel et Python pour faire les analyses et crer des graphiques.,Bases de donnes,Rseaux et Tlcommunications,Prototypage,0.596,7,28,3,0.857,2,1,0,0,0,0,REJETE
PRJ-0114,Plateforme e-commerce B2B pour l'approvisionnement des PME africaines,"Cette tude conoit une marketplace B2B permettant aux PME d'Afrique de l'Ouest de s'approvisionner auprs de fournisseurs locaux et internationaux. La plateforme intgre un module de paiement mobile money, une gestion des stocks et un systme de notation des fournisseurs.",Dveloppement Web,Rseaux et Tlcommunications,tude de cas,0.427,8,40,3,0.8,3,0,0,0,0,0,REVISION_NECESSAIRE
PRJ-0078,Conception d'un entrept de donnes pour le suivi pidmiologique au Ministre de la Sant,"Ce projet vise  concevoir un data warehouse selon la modlisation en toile pour centraliser les donnes pidmiologiques nationales. Il inclut la mise en place d'un pipeline ETL, le dploiement sous PostgreSQL et la cration de rapports analytiques sur Power BI.",IA / Machine Learning,Gnie Logiciel,Recherche exprimentale,0.09,14,40,3,0.925,2,1,0,0,1,0,APPROUVE
PRJ-0063,Conception d'un entrept de donnes pour le suivi pidmiologique au Ministre de la Sant,"Ce projet vise  concevoir un data warehouse selon la modlisation en toile pour centraliser les donnes pidmiologiques nationales. Il inclut la mise en place d'un pipeline ETL, le dploiement sous PostgreSQL et la cration de rapports analytiques sur Power BI.",Cloud / DevOps,Gnie Logiciel,tude de cas,0.316,14,40,3,0.925,2,1,0,0,1,0,APPROUVE
PRJ-0166,Systme embarqu de surveillance environnementale bas sur IoT  Cas d'tude 6,"Ce projet dveloppe un systme de capteurs connects (Arduino + Raspberry Pi) pour surveiller la qualit de l'air, l'humidit et la temprature dans un environnement industriel. Les donnes sont transmises via MQTT et visualises sur un dashboard Grafana.",Bases de donnes,Gnie Informatique,Recherche applique,0.064,11,38,3,0.868,2,2,0,0,0,0,APPROUVE
PRJ-0204,Dploiement d'une infrastructure rseau WiFi communautaire  faible cot,"Cette tude propose le dploiement d'un rseau WiFi communautaire dans un quartier priurbain de Lom en utilisant des quipements open source. Le projet couvre la conception, la simulation sous GNS3, le dploiement et la mesure des performances relles.",Cyberscurit,Gnie Informatique,tude de cas,0.168,8,38,3,0.842,2,0,0,0,0,0,APPROUVE
PRJ-0480,Copie du systme bancaire,Reproduire exactement le systme de la banque Ecobank avec toutes ses fonctionnalits en 2 mois.,Dveloppement Web,Cyberscurit,tude de cas,0.545,4,15,2,1.0,1,0,1,0,0,1,REJETE
PRJ-0264,Mise en place d'un rseau local pour une entreprise,"Ce projet va mettre en place un rseau local pour une petite entreprise. On va choisir les quipements, configurer les switches et les routeurs, et tester la connectivit.",Bases de donnes,Cyberscurit,Prototypage,0.66,9,28,3,0.857,1,0,0,0,0,0,REJETE
PRJ-0040,Conception d'un systme de dtection de fraude bancaire par deep learning au Togo,"Ce travail vise  concevoir et implmenter un systme intelligent de dtection de transactions frauduleuses en utilisant des rseaux de neurones LSTM appliqus aux donnes de mobile money au Togo. La mthodologie inclut la collecte de donnes anonymises, le prtraitement, l'entranement du modle et l'valuation des performances sur un jeu de test rel.",Bases de donnes,Data Science,tude de cas,0.119,13,52,3,0.808,7,1,0,1,1,0,APPROUVE
PRJ-0418,Analyse des donnes de vente d'une entreprise,Ce travail va analyser les donnes de vente d'une entreprise commerciale pour trouver des tendances. On utilisera Excel et Python pour faire les analyses et crer des graphiques.,Cyberscurit,Data Science,Recherche applique,0.437,7,28,3,0.857,2,1,0,0,0,0,REJETE
PRJ-0498,Application,Une application mobile.,IA / Machine Learning,Systmes Embarqus,Prototypage,0.73,1,3,2,1.0,0,0,0,0,0,0,REJETE
PRJ-0297,Cration d'un site web pour une cole,"Le projet consiste  crer un site web pour une cole. Le site aura des pages pour prsenter l'cole, les cours et les professeurs. Il y aura aussi un espace pour les tudiants.",Rseaux,Data Science,Prototypage,0.289,7,32,4,0.75,0,0,0,0,1,0,REJETE
PRJ-0379,Systme de gestion de bibliothque v4,"Dvelopper un logiciel de gestion de bibliothque qui permet d'enregistrer les livres, les emprunts et les retours. Le systme aura une interface simple pour les bibliothcaires.",Systmes Embarqus,Data Science,Dveloppement logiciel (SCRUM),0.678,6,26,3,0.846,2,1,1,0,0,0,REJETE
PRJ-0263,Systme de gestion de bibliothque v2,"Dvelopper un logiciel de gestion de bibliothque qui permet d'enregistrer les livres, les emprunts et les retours. Le systme aura une interface simple pour les bibliothcaires.",Cloud / DevOps,Gnie Informatique,Prototypage,0.226,6,26,3,0.846,2,1,1,0,0,0,REJETE
PRJ-0003,Analyse prdictive du taux de dcrochage scolaire par apprentissage automatique,"Cette recherche applique des algorithmes de machine learning (Random Forest, XGBoost) pour prdire le risque de dcrochage scolaire  partir de donnes acadmiques et socio-conomiques. Un tableau de bord de visualisation est dvelopp pour les responsables pdagogiques.",Rseaux,Gnie Informatique,Prototypage,0.012,10,36,3,0.861,3,2,0,0,0,0,APPROUVE
PRJ-0179,Plateforme e-commerce B2B pour l'approvisionnement des PME africaines,"Cette tude conoit une marketplace B2B permettant aux PME d'Afrique de l'Ouest de s'approvisionner auprs de fournisseurs locaux et internationaux. La plateforme intgre un module de paiement mobile money, une gestion des stocks et un systme de notation des fournisseurs.",IA / Machine Learning,Data Science,Prototypage,0.356,8,40,3,0.8,3,0,0,0,0,0,REVISION_NECESSAIRE
PRJ-0113,Analyse prdictive du taux de dcrochage scolaire par apprentissage automatique,"Cette recherche applique des algorithmes de machine learning (Random Forest, XGBoost) pour prdire le risque de dcrochage scolaire  partir de donnes acadmiques et socio-conomiques. Un tableau de bord de visualisation est dvelopp pour les responsables pdagogiques.",Mobile,Cyberscurit,Recherche applique,0.116,10,36,3,0.861,3,2,0,0,0,0,REVISION_NECESSAIRE
PRJ-0146,Conception d'un entrept de donnes pour le suivi pidmiologique au Ministre de la Sant  Cas d'tude 6,"Ce projet vise  concevoir un data warehouse selon la modlisation en toile pour centraliser les donnes pidmiologiques nationales. Il inclut la mise en place d'un pipeline ETL, le dploiement sous PostgreSQL et la cration de rapports analytiques sur Power BI.",Bases de donnes,Gnie Informatique,tude de cas,0.417,17,40,3,0.925,2,1,0,0,1,0,APPROUVE
PRJ-0022,Plateforme e-commerce B2B pour l'approvisionnement des PME africaines,"Cette tude conoit une marketplace B2B permettant aux PME d'Afrique de l'Ouest de s'approvisionner auprs de fournisseurs locaux et internationaux. La plateforme intgre un module de paiement mobile money, une gestion des stocks et un systme de notation des fournisseurs.",Dveloppement Web,Gnie Informatique,Recherche applique,0.228,8,40,3,0.8,3,0,0,0,0,0,APPROUVE
PRJ-0329,Application de chat en temps rel,Ce projet vise  crer une application de messagerie instantane. Les utilisateurs pourront envoyer des messages en temps rel. On utilisera des websockets pour la communication.,Rseaux,Data Science,Prototypage,0.306,6,25,4,0.96,0,0,0,0,1,0,REJETE
PRJ-0062,Mise en place d'un systme de vote lectronique scuris pour les lections universitaires,"Ce projet consiste  concevoir et dployer une plateforme de vote lectronique scurise base sur la cryptographie asymtrique et la blockchain lgre. L'objectif est de garantir l'anonymat, l'intgrit et la traabilit des votes lors des lections au sein de l'universit.",Cloud / DevOps,Gnie Informatique,Recherche exprimentale,0.149,13,39,3,0.821,4,1,0,0,1,0,APPROUVE
PRJ-0065,Analyse prdictive du taux de dcrochage scolaire par apprentissage automatique,"Cette recherche applique des algorithmes de machine learning (Random Forest, XGBoost) pour prdire le risque de dcrochage scolaire  partir de donnes acadmiques et socio-conomiques. Un tableau de bord de visualisation est dvelopp pour les responsables pdagogiques.",Systmes Embarqus,Data Science,Dveloppement logiciel (SCRUM),0.087,10,36,3,0.861,3,2,0,0,0,0,REVISION_NECESSAIRE
PRJ-0153,Conception d'un entrept de donnes pour le suivi pidmiologique au Ministre de la Sant,"Ce projet vise  concevoir un data warehouse selon la modlisation en toile pour centraliser les donnes pidmiologiques nationales. Il inclut la mise en place d'un pipeline ETL, le dploiement sous PostgreSQL et la cration de rapports analytiques sur Power BI.",Bases de donnes,Rseaux et Tlcommunications,tude de cas,0.261,14,40,3,0.925,2,1,0,0,1,0,APPROUVE
PRJ-0557,Application,Une application mobile.,Bases de donnes,Gnie Informatique,Dveloppement logiciel (SCRUM),0.943,1,3,2,1.0,0,0,0,0,0,0,REJETE
PRJ-0009,Conception d'un systme de dtection de fraude bancaire par deep learning au Togo,"Ce travail vise  concevoir et implmenter un systme intelligent de dtection de transactions frauduleuses en utilisant des rseaux de neurones LSTM appliqus aux donnes de mobile money au Togo. La mthodologie inclut la collecte de donnes anonymises, le prtraitement, l'entranement du modle et l'valuation des performances sur un jeu de test rel.",Dveloppement Web,Rseaux et Tlcommunications,Dveloppement logiciel (SCRUM),0.348,13,52,3,0.808,7,1,0,1,1,0,APPROUVE
PRJ-0017,Dploiement d'une infrastructure rseau WiFi communautaire  faible cot,"Cette tude propose le dploiement d'un rseau WiFi communautaire dans un quartier priurbain de Lom en utilisant des quipements open source. Le projet couvre la conception, la simulation sous GNS3, le dploiement et la mesure des performances relles.",Bases de donnes,Gnie Logiciel,Dveloppement logiciel (SCRUM),0.449,8,38,3,0.842,2,0,0,0,0,0,REVISION_NECESSAIRE
PRJ-0171,Conception d'un systme de dtection de fraude bancaire par deep learning au Togo  Cas d'tude 1,"Ce travail vise  concevoir et implmenter un systme intelligent de dtection de transactions frauduleuses en utilisant des rseaux de neurones LSTM appliqus aux donnes de mobile money au Togo. La mthodologie inclut la collecte de donnes anonymises, le prtraitement, l'entranement du modle et l'valuation des performances sur un jeu de test rel.",Mobile,Gnie Logiciel,Prototypage,0.296,16,52,3,0.808,7,1,0,1,1,0,APPROUVE
PRJ-0164,Dploiement d'une infrastructure rseau WiFi communautaire  faible cot,"Cette tude propose le dploiement d'un rseau WiFi communautaire dans un quartier priurbain de Lom en utilisant des quipements open source. Le projet couvre la conception, la simulation sous GNS3, le dploiement et la mesure des performances relles.",Cloud / DevOps,Cyberscurit,Recherche exprimentale,0.11,8,38,3,0.842,2,0,0,0,0,0,REVISION_NECESSAIRE
PRJ-0435,Cration d'un site web pour une cole v3,"Le projet consiste  crer un site web pour une cole. Le site aura des pages pour prsenter l'cole, les cours et les professeurs. Il y aura aussi un espace pour les tudiants.",Cyberscurit,Cyberscurit,Recherche exprimentale,0.607,8,32,4,0.75,0,0,0,0,1,0,REVISION_NECESSAIRE
PRJ-0368,Application pour grer les notes des tudiants,Je veux faire une application pour grer les notes. Elle permettra d'entrer les notes et de calculer les moyennes. Ce sera utile pour les professeurs.,Bases de donnes,Rseaux et Tlcommunications,Prototypage,0.224,7,25,4,0.84,0,0,0,0,0,0,REJETE
PRJ-0336,Systme de gestion de bibliothque,"Dvelopper un logiciel de gestion de bibliothque qui permet d'enregistrer les livres, les emprunts et les retours. Le systme aura une interface simple pour les bibliothcaires.",Cloud / DevOps,Data Science,tude de cas,0.229,5,26,3,0.846,2,1,1,0,0,0,REJETE
PRJ-0016,Analyse prdictive du taux de dcrochage scolaire par apprentissage automatique  Cas d'tude 6,"Cette recherche applique des algorithmes de machine learning (Random Forest, XGBoost) pour prdire le risque de dcrochage scolaire  partir de donnes acadmiques et socio-conomiques. Un tableau de bord de visualisation est dvelopp pour les responsables pdagogiques.",Cloud / DevOps,Cyberscurit,tude de cas,0.243,13,36,3,0.861,3,2,0,0,0,0,APPROUVE
PRJ-0587,Faire un jeu vido,Je veux faire un jeu. Ce sera amusant.,Bases de donnes,Rseaux et Tlcommunications,tude de cas,0.72,4,8,3,1.0,0,0,1,0,0,0,REJETE
PRJ-0577,Intelligence artificielle gnrale,Crer une intelligence artificielle gnrale capable de tout faire comme un humain.,Cloud / DevOps,Gnie Logiciel,tude de cas,0.778,3,12,2,1.0,0,0,1,0,0,1,REJETE
PRJ-0560,Intelligence artificielle gnrale,Crer une intelligence artificielle gnrale capable de tout faire comme un humain.,Dveloppement Web,Gnie Logiciel,tude de cas,0.634,3,12,2,1.0,0,0,1,0,0,1,REJETE
PRJ-0474,Application,Une application mobile.,Cyberscurit,Cyberscurit,Recherche exprimentale,0.715,1,3,2,1.0,0,0,0,0,0,0,REJETE
PRJ-0023,Plateforme e-commerce B2B pour l'approvisionnement des PME africaines,"Cette tude conoit une marketplace B2B permettant aux PME d'Afrique de l'Ouest de s'approvisionner auprs de fournisseurs locaux et internationaux. La plateforme intgre un module de paiement mobile money, une gestion des stocks et un systme de notation des fournisseurs.",Cyberscurit,Cyberscurit,Prototypage,0.069,8,40,3,0.8,3,0,0,0,0,0,APPROUVE
PRJ-0190,Classification automatique de documents administratifs par traitement du langage naturel,"Ce projet applique des techniques de NLP (TF-IDF, BERT) pour classifier automatiquement des documents administratifs numriss en catgories prdfinies. L'objectif est de rduire le temps de traitement manuel dans les services administratifs.",Systmes Embarqus,Rseaux et Tlcommunications,Recherche exprimentale,0.023,10,32,3,0.906,1,2,0,0,1,0,APPROUVE
PRJ-0436,Analyse des donnes de vente d'une entreprise,Ce travail va analyser les donnes de vente d'une entreprise commerciale pour trouver des tendances. On utilisera Excel et Python pour faire les analyses et crer des graphiques.,Rseaux,Systmes Embarqus,Recherche exprimentale,0.727,7,28,3,0.857,2,1,0,0,0,0,REJETE
PRJ-0318,Cration d'un site web pour une cole,"Le projet consiste  crer un site web pour une cole. Le site aura des pages pour prsenter l'cole, les cours et les professeurs. Il y aura aussi un espace pour les tudiants.",Systmes Embarqus,Cyberscurit,Recherche applique,0.484,7,32,4,0.75,0,0,0,0,1,0,REJETE
PRJ-0084,Plateforme e-commerce B2B pour l'approvisionnement des PME africaines,"Cette tude conoit une marketplace B2B permettant aux PME d'Afrique de l'Ouest de s'approvisionner auprs de fournisseurs locaux et internationaux. La plateforme intgre un module de paiement mobile money, une gestion des stocks et un systme de notation des fournisseurs.",Bases de donnes,Cyberscurit,Prototypage,0.428,8,40,3,0.8,3,0,0,0,0,0,APPROUVE
PRJ-0586,Copie du systme bancaire,Reproduire exactement le systme de la banque Ecobank avec toutes ses fonctionnalits en 2 mois.,Cloud / DevOps,Gnie Informatique,Dveloppement logiciel (SCRUM),0.871,4,15,2,1.0,1,0,1,0,0,1,REJETE
PRJ-0167,Systme embarqu de surveillance environnementale bas sur IoT,"Ce projet dveloppe un systme de capteurs connects (Arduino + Raspberry Pi) pour surveiller la qualit de l'air, l'humidit et la temprature dans un environnement industriel. Les donnes sont transmises via MQTT et visualises sur un dashboard Grafana.",Bases de donnes,Data Science,Prototypage,0.004,8,38,3,0.868,2,2,0,0,0,0,REVISION_NECESSAIRE
PRJ-0454,Application de chat en temps rel,Ce projet vise  crer une application de messagerie instantane. Les utilisateurs pourront envoyer des messages en temps rel. On utilisera des websockets pour la communication.,Mobile,Data Science,Dveloppement logiciel (SCRUM),0.218,6,25,4,0.96,0,0,0,0,1,0,REJETE
PRJ-0112,Implmentation d'un SIEM open source pour la dtection d'intrusions en entreprise,Ce travail consiste  dployer et configurer un SIEM bas sur Wazuh/ELK Stack pour centraliser la gestion des logs et dtecter les intrusions dans une PME locale. Il inclut la dfinition des rgles de corrlation et les procdures de rponse aux incidents.,Systmes Embarqus,Rseaux et Tlcommunications,tude de cas,0.222,11,41,3,0.854,1,0,0,0,1,0,REVISION_NECESSAIRE
PRJ-0249,Mise en place d'un systme de vote lectronique scuris pour les lections universitaires,"Ce projet consiste  concevoir et dployer une plateforme de vote lectronique scurise base sur la cryptographie asymtrique et la blockchain lgre. L'objectif est de garantir l'anonymat, l'intgrit et la traabilit des votes lors des lections au sein de l'universit.",Cyberscurit,Gnie Informatique,tude de cas,0.374,13,39,3,0.821,4,1,0,0,1,0,APPROUVE
